"Disable Cart","Disable Cart"
"Disable Shopping Cart","Disable Shopping Cart"
"Show Maintenance Message","Show Maintenance Message"
"Maintenance Message","Maintenance Message"
"Disables Sales ➞ Checkout ➞ Checkout Options ➞ Enable Onepage Checkout","Disables Sales ➞ Checkout ➞ Checkout Options ➞ Enable Onepage Checkout"
"Globally display a block to notify customers of maintenance.","Globally display a block to notify customers of maintenance."
"Block used to format maintenance message.","Block used to format maintenance message."
